phase,matrix,variable,x_label,x_value,component,component_index,lambda,factor_value,plotted_value,y_label
LIQUID,A,Co,x_Co,0.23,r=6,6,0.9999999999996511,-0.09658838605259722,-0.09658838605256351,λ·A
LIQUID,A,Co,x_Co,0.24,r=6,6,0.9999999999996511,0.11870361802266625,0.11870361802262483,λ·A
LIQUID,A,Co,x_Co,0.25,r=6,6,0.9999999999996511,0.10884533064613387,0.10884533064609589,λ·A
LIQUID,A,Co,x_Co,0.26,r=6,6,0.9999999999996511,-0.05640127822274052,-0.05640127822272084,λ·A
LIQUID,A,Co,x_Co,0.27,r=6,6,0.9999999999996511,-0.12616930513619712,-0.1261693051361531,λ·A
LIQUID,A,Co,x_Co,0.28,r=6,6,0.9999999999996511,0.05721752670011892,0.057217526700098956,λ·A
LIQUID,A,Co,x_Co,0.29,r=6,6,0.9999999999996511,0.23581429931145634,0.23581429931137404,λ·A
LIQUID,A,Co,x_Co,0.3,r=6,6,0.9999999999996511,0.1861900092614462,0.1861900092613812,λ·A
LIQUID,A,Co,x_Co,0.31,r=6,6,0.9999999999996511,-0.023748576628766633,-0.023748576628758344,λ·A
LIQUID,A,Co,x_Co,0.32,r=6,6,0.9999999999996511,-0.08567568232982291,-0.08567568232979302,λ·A
LIQUID,A,Co,x_Co,0.33,r=6,6,0.9999999999996511,0.08242415900505749,0.08242415900502874,λ·A
LIQUID,A,Co,x_Co,0.34,r=6,6,0.9999999999996511,0.25337565828302716,0.25337565828293873,λ·A
LIQUID,A,Co,x_Co,0.35,r=6,6,0.9999999999996511,0.1560303794731161,0.15603037947306164,λ·A
LIQUID,A,Co,x_Co,0.36,r=6,6,0.9999999999996511,-0.09453200835357356,-0.09453200835354057,λ·A
LIQUID,A,Co,x_Co,0.37,r=6,6,0.9999999999996511,-0.07803338130718897,-0.07803338130716174,λ·A
LIQUID,A,Co,x_Co,0.38,r=6,6,0.9999999999996511,0.09996329688037692,0.09996329688034204,λ·A
LIQUID,A,Co,x_Co,0.39,r=6,6,0.9999999999996511,0.17908637882500392,0.17908637882494144,λ·A
LIQUID,A,Co,x_Co,0.4,r=6,6,0.9999999999996511,-0.02062862266445859,-0.020628622664451392,λ·A
LIQUID,B,Cr,x_Cr,0.01,r=1,1,0.9999999999958537,-0.18978000596408298,-0.18978000596329608,λ·B
LIQUID,B,Cr,x_Cr,0.02,r=1,1,0.9999999999958537,0.0007482813137650318,0.0007482813137619291,λ·B
LIQUID,B,Cr,x_Cr,0.03,r=1,1,0.9999999999958537,0.12691444884960248,0.12691444884907627,λ·B
LIQUID,B,Cr,x_Cr,0.04,r=1,1,0.9999999999958537,0.08622426483497776,0.08622426483462024,λ·B
LIQUID,B,Cr,x_Cr,0.05,r=1,1,0.9999999999958537,-0.020127042814434358,-0.020127042814350904,λ·B
LIQUID,B,Cr,x_Cr,0.06,r=1,1,0.9999999999958537,-0.03618211180140041,-0.03618211180125038,λ·B
LIQUID,B,Cr,x_Cr,0.07,r=1,1,0.9999999999958537,0.19652575595841798,0.1965257559576031,λ·B
LIQUID,B,Cr,x_Cr,0.08,r=1,1,0.9999999999958537,0.4165969724941199,0.4165969724923926,λ·B
LIQUID,B,Cr,x_Cr,0.09,r=1,1,0.9999999999958537,0.3535673554938752,0.3535673554924092,λ·B
LIQUID,B,Cr,x_Cr,0.1,r=1,1,0.9999999999958537,0.13877304769001508,0.13877304768943968,λ·B
LIQUID,B,Cr,x_Cr,0.11,r=1,1,0.9999999999958537,0.045357819058208924,0.04535781905802085,λ·B
LIQUID,B,Cr,x_Cr,0.12,r=1,1,0.9999999999958537,0.1705745546569401,0.17057455465623284,λ·B
LIQUID,B,Cr,x_Cr,0.13,r=1,1,0.9999999999958537,0.22997154126441394,0.2299715412634604,λ·B
LIQUID,B,Cr,x_Cr,0.14,r=1,1,0.9999999999958537,0.08839726844580975,0.08839726844544323,λ·B
LIQUID,B,Cr,x_Cr,0.15,r=1,1,0.9999999999958537,-0.11570498325282734,-0.11570498325234758,λ·B
LIQUID,B,Cr,x_Cr,0.16,r=1,1,0.9999999999958537,-0.1146343920758153,-0.11463439207533999,λ·B
LIQUID,B,Cr,x_Cr,0.17,r=1,1,0.9999999999958537,-0.0021578021901324145,-0.0021578021901234676,λ·B
LIQUID,B,Cr,x_Cr,0.18,r=1,1,0.9999999999958537,0.010384833688143644,0.010384833688100585,λ·B
LIQUID,B,Cr,x_Cr,0.19,r=1,1,0.9999999999958537,-0.13763335112981334,-0.13763335112924266,λ·B
LIQUID,B,Cr,x_Cr,0.2,r=1,1,0.9999999999958537,-0.20776251674228957,-0.20776251674142812,λ·B
LIQUID,B,Cr,x_Cr,0.21,r=1,1,0.9999999999958537,-0.19124003724811417,-0.19124003724732122,λ·B
LIQUID,B,Cr,x_Cr,0.22,r=1,1,0.9999999999958537,-0.08792831666747007,-0.08792831666710549,λ·B
LIQUID,B,Cr,x_Cr,0.23,r=1,1,0.9999999999958537,-0.06958458670038567,-0.06958458670009715,λ·B
LIQUID,B,Cr,x_Cr,0.24,r=1,1,0.9999999999958537,-0.20564719167792808,-0.2056471916770754,λ·B
LIQUID,B,Cr,x_Cr,0.25,r=1,1,0.9999999999958537,-0.29142708829152847,-0.2914270882903201,λ·B
LIQUID,B,Cr,x_Cr,0.26,r=1,1,0.9999999999958537,-0.22273554693901226,-0.22273554693808872,λ·B
LIQUID,B,Cr,x_Cr,0.27,r=1,1,0.9999999999958537,-0.07160234765061609,-0.0716023476503192,λ·B
LIQUID,B,Cr,x_Cr,0.28,r=1,1,0.9999999999958537,-0.045857008862403,-0.04585700886221286,λ·B
LIQUID,B,Cr,x_Cr,0.29,r=1,1,0.9999999999958537,-0.14302926691298282,-0.14302926691238976,λ·B
LIQUID,B,Cr,x_Cr,0.3,r=1,1,0.9999999999958537,-0.1416103835458638,-0.14161038354527664,λ·B
LIQUID,B,Cr,x_Cr,0.31,r=1,1,0.9999999999958537,-0.027806888131638587,-0.02780688813152329,λ·B
LIQUID,B,Cr,x_Cr,0.32,r=1,1,0.9999999999958537,0.009424789062333268,0.00942478906229419,λ·B
LIQUID,B,Cr,x_Cr,0.33,r=1,1,0.9999999999958537,-0.05834126756640252,-0.058341267566160614,λ·B
LIQUID,B,Cr,x_Cr,0.34,r=1,1,0.9999999999958537,-0.1691566126914077,-0.1691566126907063,λ·B
LIQUID,B,Cr,x_Cr,0.35,r=1,1,0.9999999999958537,-0.13756972720261323,-0.13756972720204283,λ·B
LIQUID,B,Cr,x_Cr,0.36,r=1,1,0.9999999999958537,0.05184846393031548,0.0518484639301005,λ·B
LIQUID,B,Cr,x_Cr,0.37,r=1,1,0.9999999999958537,0.16074677708723997,0.16074677708657345,λ·B
LIQUID,B,Cr,x_Cr,0.38,r=1,1,0.9999999999958537,0.05594732290882231,0.055947322908590336,λ·B
LIQUID,B,Cr,x_Cr,0.39,r=1,1,0.9999999999958537,-0.1253094662480416,-0.125309466247522,λ·B
LIQUID,B,Cr,x_Cr,0.4,r=1,1,0.9999999999958537,-0.16969469063810738,-0.16969469063740378,λ·B
LIQUID,B,Cr,x_Cr,0.01,r=2,2,0.999999999999628,0.04672037131132283,0.04672037131130545,λ·B
LIQUID,B,Cr,x_Cr,0.02,r=2,2,0.999999999999628,0.028176136771099272,0.02817613677108879,λ·B
LIQUID,B,Cr,x_Cr,0.03,r=2,2,0.999999999999628,-0.08007094674412613,-0.08007094674409633,λ·B
LIQUID,B,Cr,x_Cr,0.04,r=2,2,0.999999999999628,-0.04410925046636256,-0.04410925046634615,λ·B
LIQUID,B,Cr,x_Cr,0.05,r=2,2,0.999999999999628,-0.03951922649066992,-0.039519226490655215,λ·B
LIQUID,B,Cr,x_Cr,0.06,r=2,2,0.999999999999628,0.14924486408306653,0.14924486408301102,λ·B
LIQUID,B,Cr,x_Cr,0.07,r=2,2,0.999999999999628,0.22658740854180467,0.22658740854172038,λ·B
LIQUID,B,Cr,x_Cr,0.08,r=2,2,0.999999999999628,0.13182500184337786,0.13182500184332882,λ·B
LIQUID,B,Cr,x_Cr,0.09,r=2,2,0.999999999999628,0.043263969559050965,0.043263969559034866,λ·B
LIQUID,B,Cr,x_Cr,0.1,r=2,2,0.999999999999628,0.06382694455855022,0.06382694455852647,λ·B
LIQUID,B,Cr,x_Cr,0.11,r=2,2,0.999999999999628,0.15356018294157195,0.15356018294151483,λ·B
LIQUID,B,Cr,x_Cr,0.12,r=2,2,0.999999999999628,0.07424622880634169,0.07424622880631407,λ·B
LIQUID,B,Cr,x_Cr,0.13,r=2,2,0.999999999999628,-0.12519846119569178,-0.1251984611956452,λ·B
LIQUID,B,Cr,x_Cr,0.14,r=2,2,0.999999999999628,-0.15844417089551854,-0.1584441708954596,λ·B
LIQUID,B,Cr,x_Cr,0.15,r=2,2,0.999999999999628,0.04052265739051822,0.04052265739050314,λ·B
LIQUID,B,Cr,x_Cr,0.16,r=2,2,0.999999999999628,0.25151533644035157,0.251515336440258,λ·B
LIQUID,B,Cr,x_Cr,0.17,r=2,2,0.999999999999628,0.24308988345722743,0.243089883457137,λ·B
LIQUID,B,Cr,x_Cr,0.18,r=2,2,0.999999999999628,0.05904515766964083,0.05904515766961886,λ·B
LIQUID,B,Cr,x_Cr,0.19,r=2,2,0.999999999999628,-0.025815524893935307,-0.025815524893925704,λ·B
LIQUID,B,Cr,x_Cr,0.2,r=2,2,0.999999999999628,-0.027622374493766803,-0.027622374493756527,λ·B
LIQUID,B,Cr,x_Cr,0.21,r=2,2,0.999999999999628,-0.04708324976255378,-0.047083249762536264,λ·B
LIQUID,B,Cr,x_Cr,0.22,r=2,2,0.999999999999628,-0.11520352628269193,-0.11520352628264907,λ·B
LIQUID,B,Cr,x_Cr,0.23,r=2,2,0.999999999999628,-0.25952207838023816,-0.25952207838014163,λ·B
LIQUID,B,Cr,x_Cr,0.24,r=2,2,0.999999999999628,-0.2873171382653705,-0.28731713826526356,λ·B
LIQUID,B,Cr,x_Cr,0.25,r=2,2,0.999999999999628,-0.22009135457809328,-0.2200913545780114,λ·B
LIQUID,B,Cr,x_Cr,0.26,r=2,2,0.999999999999628,-0.18768463306832553,-0.1876846330682557,λ·B
LIQUID,B,Cr,x_Cr,0.27,r=2,2,0.999999999999628,-0.16236672377314273,-0.16236672377308234,λ·B
LIQUID,B,Cr,x_Cr,0.28,r=2,2,0.999999999999628,-0.21395045722848238,-0.21395045722840278,λ·B
LIQUID,B,Cr,x_Cr,0.29,r=2,2,0.999999999999628,-0.06511785951573532,-0.06511785951571109,λ·B
LIQUID,B,Cr,x_Cr,0.3,r=2,2,0.999999999999628,0.15101534213782908,0.1510153421377729,λ·B
LIQUID,B,Cr,x_Cr,0.31,r=2,2,0.999999999999628,0.10842734812519762,0.10842734812515728,λ·B
LIQUID,B,Cr,x_Cr,0.32,r=2,2,0.999999999999628,-0.17445323074490265,-0.17445323074483776,λ·B
LIQUID,B,Cr,x_Cr,0.33,r=2,2,0.999999999999628,-0.32794408450692175,-0.32794408450679974,λ·B
LIQUID,B,Cr,x_Cr,0.34,r=2,2,0.999999999999628,-0.3159494934231917,-0.31594949342307416,λ·B
LIQUID,B,Cr,x_Cr,0.35,r=2,2,0.999999999999628,-0.12978944377946208,-0.1297894437794138,λ·B
LIQUID,B,Cr,x_Cr,0.36,r=2,2,0.999999999999628,-0.05558506396014666,-0.05558506396012598,λ·B
LIQUID,B,Cr,x_Cr,0.37,r=2,2,0.999999999999628,-0.14277209549519987,-0.14277209549514674,λ·B
LIQUID,B,Cr,x_Cr,0.38,r=2,2,0.999999999999628,-0.19145675502707693,-0.1914567550270057,λ·B
LIQUID,B,Cr,x_Cr,0.39,r=2,2,0.999999999999628,-0.11268755771497534,-0.11268755771493341,λ·B
LIQUID,B,Cr,x_Cr,0.4,r=2,2,0.999999999999628,0.06250117717313129,0.06250117717310803,λ·B
LIQUID,B,Cr,x_Cr,0.01,r=3,3,0.9999999999997496,0.24497344822615805,0.2449734482260967,λ·B
LIQUID,B,Cr,x_Cr,0.02,r=3,3,0.9999999999997496,0.2639604038264304,0.2639604038263643,λ·B
LIQUID,B,Cr,x_Cr,0.03,r=3,3,0.9999999999997496,0.16058182672979554,0.16058182672975535,λ·B
LIQUID,B,Cr,x_Cr,0.04,r=3,3,0.9999999999997496,0.051138145712485,0.051138145712472195,λ·B
LIQUID,B,Cr,x_Cr,0.05,r=3,3,0.9999999999997496,-0.05909368284138478,-0.05909368284136999,λ·B
LIQUID,B,Cr,x_Cr,0.06,r=3,3,0.9999999999997496,-0.08873891041303415,-0.08873891041301193,λ·B
LIQUID,B,Cr,x_Cr,0.07,r=3,3,0.9999999999997496,-0.05955376656863932,-0.059553766568624406,λ·B
LIQUID,B,Cr,x_Cr,0.08,r=3,3,0.9999999999997496,-0.15050428001173038,-0.1505042800116927,λ·B
LIQUID,B,Cr,x_Cr,0.09,r=3,3,0.9999999999997496,-0.2818567481561471,-0.28185674815607653,λ·B
LIQUID,B,Cr,x_Cr,0.1,r=3,3,0.9999999999997496,-0.3031357452346052,-0.3031357452345293,λ·B
LIQUID,B,Cr,x_Cr,0.11,r=3,3,0.9999999999997496,-0.2470513934991502,-0.24705139349908836,λ·B
LIQUID,B,Cr,x_Cr,0.12,r=3,3,0.9999999999997496,-0.16308820215636133,-0.1630882021563205,λ·B
LIQUID,B,Cr,x_Cr,0.13,r=3,3,0.9999999999997496,-0.1757930966970862,-0.17579309669704218,λ·B
LIQUID,B,Cr,x_Cr,0.14,r=3,3,0.9999999999997496,-0.20709356984199886,-0.20709356984194702,λ·B
LIQUID,B,Cr,x_Cr,0.15,r=3,3,0.9999999999997496,-0.13104412531317858,-0.13104412531314577,λ·B
