phase,matrix,variable,x_label,x_value,y_label,r=1,r=2,r=3,r=4,r=5,r=6
LIQUID,C,Fe,x_Fe,0.04,λ·C,-0.2420389403990432,0.031087714927171283,0.30026481694088597,-0.01726743600483415,0.008656695756220066,-0.15793457838350353
LIQUID,C,Fe,x_Fe,0.05,λ·C,-0.3147820507619569,-0.019889985970421933,0.10487231099427567,-0.07760953150717352,-0.1294793920649843,-0.201461108784701
LIQUID,C,Fe,x_Fe,0.06,λ·C,-0.06906471168673763,0.0363429009168295,0.01750284859000459,-0.0023871596768847672,-0.30462844672143174,-0.02110271866111087
LIQUID,C,Fe,x_Fe,0.07,λ·C,0.02519929761625706,0.17941170989165087,0.02393224580836428,0.12098214643605222,-0.10983558672643597,0.19407857869906137
LIQUID,C,Fe,x_Fe,0.08,λ·C,-0.0858602610183418,0.1523047884631845,0.15740152368483956,0.0834428602614021,0.19981771517654978,0.20524872615067702
LIQUID,C,Fe,x_Fe,0.09,λ·C,-0.1430275523916853,0.09009886361468777,0.36580123240253715,-0.014591789652259473,0.2625283167574147,0.09078858226688763
LIQUID,C,Fe,x_Fe,0.1,λ·C,-0.1041606888502328,0.07981818186404128,0.2510579191117382,-0.022923036592919725,0.09703097237877159,0.04396454206830667
LIQUID,C,Fe,x_Fe,0.11,λ·C,0.13881450143056956,0.11549152162221969,-0.025808390194186882,0.01699679426928438,0.004351107583301066,0.20297711573622632
LIQUID,C,Fe,x_Fe,0.12,λ·C,0.3119538810019717,0.13545066688359958,-0.10108091194332777,0.009390211303557564,0.1521257019860418,0.379890849351933
LIQUID,C,Fe,x_Fe,0.13,λ·C,0.2653297506731623,0.007318796317134712,0.1434440664366127,-0.11224195200040639,0.28108503405583835,0.27159370502672125
LIQUID,C,Fe,x_Fe,0.14,λ·C,0.1526133076374466,-0.1425325049105857,0.3117861197912505,-0.24575064060268684,0.22479482790915978,0.06857740486445457
LIQUID,C,Fe,x_Fe,0.15,λ·C,0.14073352210100037,-0.22907782092396034,0.08849658049959547,-0.27844259804029325,0.02194223999887706,0.027159227720079067
LIQUID,C,Fe,x_Fe,0.16,λ·C,0.27921769449486844,-0.24175399644368586,-0.2688934107494913,-0.22604885240848363,-0.03978014159629767,0.19304561908984108
LIQUID,C,Fe,x_Fe,0.17,λ·C,0.37529790942296615,-0.2040896468194363,-0.1563454287832311,-0.18451229685401152,0.08377090545677864,0.2704334280154119
LIQUID,C,Fe,x_Fe,0.18,λ·C,0.26923600357938016,-0.20436032410022997,0.16639144325967226,-0.2373830513004318,0.18193587495613367,0.10356550988441203
LIQUID,C,Fe,x_Fe,0.19,λ·C,0.1392283997342811,-0.2632619551673679,0.17431583202502038,-0.30851935058691843,0.053847432069364584,-0.08217952853395176
LIQUID,C,Fe,x_Fe,0.2,λ·C,0.12450286677610317,-0.23512618182695158,-0.04859177188336016,-0.2759700511064419,-0.08061407885387098,-0.05167213270404711
LIQUID,C,Fe,x_Fe,0.21,λ·C,0.22472753603543272,-0.1631225349002317,-0.18891037389902057,-0.18360874325063326,-0.11929750022495197,0.06450943763714316
LIQUID,C,Fe,x_Fe,0.22,λ·C,0.2708554851155128,-0.0944974429100329,-0.021891626914298676,-0.15320407791653393,0.04589063111438459,0.10274679649307424
LIQUID,C,Fe,x_Fe,0.23,λ·C,0.0749715515716457,-0.1279951336925712,0.11079500456912043,-0.21869168799867586,0.16849091490266108,-0.04798019839768783
LIQUID,C,Fe,x_Fe,0.24,λ·C,0.014721799420565486,-0.2156251109131251,0.049473795062949154,-0.29156946153972774,0.05035893884364315,-0.20105213147283557
LIQUID,C,Fe,x_Fe,0.25,λ·C,0.06080668604336046,-0.17435112079895762,-0.12214449599616632,-0.21699669428337293,-0.09335745126508782,-0.17166513165484112
LIQUID,C,Fe,x_Fe,0.26,λ·C,0.09395247290873576,-0.1611987114095921,-0.1959707130208679,-0.12762189985419783,-0.124439382245766,-0.07180767797071516
LIQUID,C,Fe,x_Fe,0.27,λ·C,0.07472061297879799,-0.20879724274575268,-0.053208314818227714,-0.165159865116633,0.03739231762546921,-0.02696751311154784
LIQUID,C,Fe,x_Fe,0.28,λ·C,-0.07140918232211166,-0.28721935819255423,0.09248953373934307,-0.24477031420701253,0.06573905669285383,-0.15806205618227168
LIQUID,C,Fe,x_Fe,0.29,λ·C,-0.11344324480247865,-0.30283548714359965,0.13168841127243003,-0.2621500563863562,-0.05205285249261374,-0.27726816249695785
LIQUID,C,Fe,x_Fe,0.3,λ·C,-0.04572500112769229,-0.18287100057409822,-0.0237182936745322,-0.1543558162395733,-0.05239357547789044,-0.1621930381299861
LIQUID,C,Fe,x_Fe,0.31,λ·C,-0.005357104964470677,-0.09061572680815436,-0.188214221293427,-0.04695893710780541,0.044697709600731245,-0.016708158261619865
LIQUID,C,Fe,x_Fe,0.32,λ·C,0.02584476665959531,-0.0566982385815246,0.012960656567130408,-0.0300429549806594,0.14838975274868269,-0.060623050209746725
LIQUID,C,Fe,x_Fe,0.33,λ·C,-0.10163058820957466,-0.058849428920145566,0.144038485012603,-0.078086310661881,0.1821339622503218,-0.21290742393279025
