phase,matrix,variable,x_label,x_value,y_label,r=1,r=2,r=3,r=4,r=5,r=6
FCC,C,Fe,x_Fe,0.24,λ·C,0.1345924895142659,0.18012321346616675,-0.11259504720043736,-0.07325392997712277,0.002364695700115052,-0.10113524625612269
FCC,C,Fe,x_Fe,0.25,λ·C,0.14046226082998375,0.0798468429193014,-0.017805874363447906,-0.22219915871598386,-0.00186639298145728,-0.1295076426055013
FCC,C,Fe,x_Fe,0.26,λ·C,0.13317500399334484,-0.07934132846290326,-0.07953159179389371,-0.23999552197095084,-0.1339173461835054,-0.005044553446978574
FCC,C,Fe,x_Fe,0.27,λ·C,0.19786843533125587,-0.0985276498618678,-0.20533405432776836,-0.05366043364732585,-0.17196847718231734,0.09433567315632298
FCC,C,Fe,x_Fe,0.28,λ·C,0.19688183501044737,0.020902041641050577,-0.22715285314692252,0.06616352206242243,-0.05840763184151312,0.08048774098366807
FCC,C,Fe,x_Fe,0.29,λ·C,0.1710042051966491,0.12219406884223574,-0.026703503122705,-0.042008744127128045,-0.004161694095160804,0.06573905355339991
FCC,C,Fe,x_Fe,0.3,λ·C,0.12646239223372802,0.020998783393963646,0.03969961669569506,-0.22275295659965094,-0.0374685289190564,0.10969775599011974
FCC,C,Fe,x_Fe,0.31,λ·C,0.107936032549475,-0.16648966638271237,-0.11846971627580344,-0.16682823198827548,-0.03235494313476258,0.18137750381749715
FCC,C,Fe,x_Fe,0.32,λ·C,0.15907078393293603,-0.20189651440950943,-0.23927196540073647,0.058675815256807276,-0.0037922407430398633,0.19731835427011016
FCC,C,Fe,x_Fe,0.33,λ·C,0.16212734241811996,-0.05266558698975673,-0.14458171235619982,0.14309829862400472,0.10607575173019244,0.18451831530828564
FCC,C,Fe,x_Fe,0.34,λ·C,0.13744260847465511,0.08218293538470017,0.04255010467391322,-0.019849973161321036,0.16947465639181686,0.1243417828997898
FCC,C,Fe,x_Fe,0.35,λ·C,0.13433956187637186,-0.021492931114093575,0.06413305362762975,-0.18101953470222665,0.11495573876951386,0.04204260553526781
FCC,C,Fe,x_Fe,0.36,λ·C,0.09418495110544256,-0.2691579419704372,-0.12581091131543656,-0.10522343914889955,-0.037516020345010725,0.17502041680355124
FCC,C,Fe,x_Fe,0.37,λ·C,0.09784534686821417,-0.1763158331653506,-0.23835957708292835,0.09839245751795697,-0.03872463851827393,0.26425754730908363
FCC,C,Fe,x_Fe,0.38,λ·C,0.1170280676839159,0.08581757883407085,-0.15137252224929398,0.1353976827076309,0.10994971096335818,0.12818077236565534
FCC,C,Fe,x_Fe,0.39,λ·C,0.08392682295736996,0.1578980452028682,0.012517787636785996,-0.048974787036175985,0.19045944055655656,0.019621208385762232
FCC,C,Fe,x_Fe,0.4,λ·C,0.06910815404060879,0.044926420762113325,0.0007760269824686303,-0.2009183024141822,0.14310211550266272,-0.02768280166097682
FCC,D,Temperature,Temperature_K,300.0,λ·D,0.24519958132919917,-0.2666250134130122,0.22780877550613074,0.017384139149314352,-0.25502473121018615,-0.2549489399506984
FCC,D,Temperature,Temperature_K,400.0,λ·D,0.2356078939793369,-0.25652618151699813,0.22132013702174716,-0.0005691240066439863,-0.24498614881289646,-0.24480093821445809
FCC,D,Temperature,Temperature_K,500.0,λ·D,0.22426826506359224,-0.24523972687361237,0.21205890662188104,-0.008056649122714423,-0.23357131792182095,-0.23317676673057597
FCC,D,Temperature,Temperature_K,600.0,λ·D,0.21156331623843616,-0.23296099236719087,0.20057724431339502,-0.0070071812541600345,-0.22102119838387593,-0.22050175484682488
FCC,D,Temperature,Temperature_K,700.0,λ·D,0.19780101156994848,-0.219791478616076,0.18746054996297645,-0.0007372829422917726,-0.20748835607919222,-0.20695260163449888
FCC,D,Temperature,Temperature_K,800.0,λ·D,0.1832042461511788,-0.20579110707204856,0.17317178851775636,0.008333543938075087,-0.19310589253332924,-0.19262706801292798
FCC,D,Temperature,Temperature_K,900.0,λ·D,0.1678798754133755,-0.19101540686655658,0.15799021159278168,0.01889092101656959,-0.1779999299211543,-0.1775531883924809
